2 0 => -24 0.142857142857
2 0 => -27 0.285714285714
2 0 => -32 0.142857142857
2 0 => -22 0.285714285714
2 0 => -21 0.142857142857
5 6 => -17 0.093023255814
5 6 => -24 0.046511627907
5 6 => -20 0.046511627907
5 6 => -12 0.0697674418605
5 6 => -15 0.0232558139535
5 6 => 7 0.674418604651
5 6 => -19 0.0232558139535
5 6 => 129 0.0232558139535
21 -15 => -24 0.666666666667
21 -15 => -36 0.333333333333
6 -29 => 7 1.0
5 2 => -3 1.0
5 => -24 0.0169491525424
5 => -27 0.0338983050847
5 => -20 0.0508474576271
5 => -32 0.0169491525424
5 => -22 0.0169491525424
5 => 2 0.0169491525424
5 => -1 0.0169491525424
5 => 4 0.0169491525424
5 => -17 0.0508474576271
5 => 6 0.728813559322
5 => 9 0.0169491525424
5 => -9 0.0169491525424
-5 -4 => -3 1.0
-32 -20 => 15 0.0322580645161
-32 -20 => -29 0.483870967742
-32 -20 => 16 0.0322580645161
-32 -20 => -36 0.0645161290323
-32 -20 => -34 0.0322580645161
-32 -20 => -31 0.225806451613
-32 -20 => 0 0.0322580645161
-32 -20 => 7 0.0322580645161
-32 -20 => 21 0.0645161290323
-9 0 => -24 0.285714285714
-9 0 => -27 0.0714285714286
-9 0 => -32 0.357142857143
-9 0 => -22 0.0714285714286
-9 0 => -17 0.142857142857
-9 0 => -8 0.0714285714286
12 7 => 3 0.5
12 7 => -21 0.5
6 -17 => 5 0.428571428571
6 -17 => 7 0.571428571429
-24 => 11 0.0135135135135
-24 => 12 0.0945945945946
-24 => -28 0.0405405405405
-24 => 7 0.0810810810811
-24 => 17 0.0135135135135
-24 => -32 0.0810810810811
-24 => 0 0.0810810810811
-24 => 3 0.0945945945946
-24 => -12 0.22972972973
-24 => 5 0.0675675675676
-24 => 4 0.0540540540541
-24 => -17 0.0135135135135
-24 => 9 0.0135135135135
-24 => 129 0.0135135135135
-24 => -9 0.0540540540541
-24 => 21 0.0540540540541
-17 7 -27 => 7 1.0
-3 4 => -29 1.0
-22 -4 => -3 1.0
-24 3 7 => 0 0.5
-24 3 7 => 4 0.5
21 -27 => 21 1.0
6 -31 => 7 1.0
9 -24 => 3 0.5
9 -24 => -32 0.5
9 -32 => 3 0.2
9 -32 => -20 0.8
22 => -5 0.333333333333
22 => 19 0.666666666667
-7 => -36 0.8
-7 => -9 0.1
-7 => -4 0.1
2 => 12 0.0434782608696
2 => 7 0.0434782608696
2 => 0 0.304347826087
2 => -26 0.0434782608696
2 => -31 0.0434782608696
2 => -30 0.0434782608696
2 => -10 0.0434782608696
2 => 3 0.130434782609
2 => 4 0.0434782608696
2 => -3 0.173913043478
2 => -19 0.0434782608696
2 => -9 0.0434782608696
